smiles,measured log solubility in mols per litre,source
Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,6.8,ChEMBL
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,7.15,ChEMBL
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nnn[nH]3)cc1)C(=O)CC2,3.888,ChEMBL
O=C(OCC1CCCO1)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)OCC1CCCO1,2.94,ChEMBL
O=C(N1CCOCC1)N(Cc1ccccc1)CC(O)CN(Cc1ccccc1)C(=O)N1CCOCC1,0.04,ChEMBL
Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl,7.55,ChEMBL
CN(C)CCc1c[nH]c2cccc(O)c12,1.45,ChEMBL
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,3.39,ChEMBL
O=C(CO)[C@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)C2CCCC2)c1,0.2,ChEMBL
c1ccc2nccnc2c1,0.51,ChEMBL
Br.Br.CCCCN(CCCC)C(=O)C1CCCN(Cc2ccc(CN3CCCC(C(=O)N(CCCC)CCCC)C3)cc2)C1,7.63,ChEMBL
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,1.76,ChEMBL
c1ccc(-c2ccccc2)cc1,3.98,ChEMBL
Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,6.09,ChEMBL
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,8.26,ChEMBL
CC(=O)[C@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCC[C@@H]2C#N)c1,-0.6,ChEMBL
CN(C)CCc1c[nH]c2ccc(O)cc12,1.19,ChEMBL
Clc1cc(Cl)c(-c2ccccc2)cc1Cl,5.81,ChEMBL
Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,6.52,ChEMBL
CN/C(=N\S(=O)(=O)c1ccc(Cl)cc1)N1C[C@H](c2ccccc2)C(c2ccc(Cl)cc2)=N1,4.8,ChEMBL
CN(C)CC(C)(C)CN,3.15,ChEMBL
C=CCNCCCNCC=C,1.86,ChEMBL
CC(=O)Nc1ccccc1,-1.76,ChEMBL
O=[N+]([O-])c1ccccc1,1.43,ChEMBL
NCCCN,1.86,ChEMBL
C=CCN(CC=C)CCCN(CC=C)CC=C,1.84,ChEMBL
CC1(C)CC(NCCO)CC(C)(C)N1,3.1,ChEMBL
O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,2.62,ChEMBL
COc1cc(O)c2c(c1)C(=O)c1cc(C)cc(O)c1C2=O,3.65,ChEMBL
Clc1ccc(-c2ccc(Cl)cc2)cc1,5.58,ChEMBL
CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(S(=O)(=O)F)cc2Cl)c(Cl)c1,2.42,ChEMBL
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,-3.0,ChEMBL
Oc1cccc(Cl)c1,-0.34,ChEMBL
